Algorithm,Density,Real_rank,Best_rank,Num_eval,Shape,Num_iterations,Train_error,Test_error,Full_error,Relative_error,Time,Data
sASD,0.5,30,54,14,"(512, 512)",61,0.000998529267336,0.0529280327225,0.0934764266992,0.000998529267336,41.85780906677246,pexels-photo-462358.jpeg
sASD,0.5,50,85,12,"(512, 512)",2500,0.00136172621201,0.0855356081255,0.155524433901,0.00136172621201,176.92579793930054,pexels-photo-462358.jpeg
sASD,0.5,100,46,13,"(512, 512)",2500,0.0344180851327,0.102393610293,0.160150252536,0.0344180851327,186.19283652305603,pexels-photo-462358.jpeg
sASD,0.5,200,95,14,"(512, 512)",2500,0.00546404870614,0.209661225266,0.362765839422,0.00546404870614,241.91902995109558,pexels-photo-462358.jpeg
