ID,Algorithm,Density,Real_rank,Best_rank,Num_eval,Shape,Train_error,Test_error,Full_error,Relative_error,Time,Data
72,sASD,0.5,113,141,12,"(512, 512)",0.000993049,0.311598421,0.53698815,0.000993049,144.6981883,pexels-photo-685526.jpeg
73,sASD,0.3,85,115,3,"(512, 512)",0.000999089,0.367241895,0.723863677,0.000999089,1.122988939,pexels-photo-685526.jpeg
74,sASD,0.4,85,115,3,"(512, 512)",0.00099932,0.316046537,0.586193003,0.00099932,3.882123947,pexels-photo-685526.jpeg
75,sASD,0.5,85,146,10,"(512, 512)",0.000994699,0.323220494,0.562702661,0.000994699,133.2882197,pexels-photo-685526.jpeg
76,sASD,0.3,138,178,9,"(512, 512)",0.000989255,0.420571332,0.816943114,0.000989255,2.884459257,pexels-photo-685526.jpeg
77,sASD,0.4,138,115,3,"(512, 512)",0.000997848,0.322137486,0.584477282,0.000997848,3.914645433,pexels-photo-685526.jpeg
78,sASD,0.5,138,151,13,"(512, 512)",0.000982832,0.333792865,0.579439345,0.000982832,147.8652368,pexels-photo-685526.jpeg
79,sASD,0.3,195,178,9,"(512, 512)",0.000985533,0.418548217,0.817884343,0.000985533,2.914813757,pexels-photo-685526.jpeg
80,sASD,0.4,195,94,7,"(512, 512)",0.000999923,0.265955303,0.477049278,0.000999923,129.4450994,pexels-photo-685526.jpeg
81,sASD,0.5,195,130,13,"(512, 512)",0.000999278,0.289362372,0.49401582,0.000999278,168.5322318,pexels-photo-685526.jpeg
82,sASD,0.3,197,115,3,"(512, 512)",0.000977741,0.370082174,0.723183781,0.000977741,1.189903975,pexels-photo-685526.jpeg
83,sASD,0.4,197,115,3,"(512, 512)",0.000990548,0.318830228,0.591770572,0.000990548,3.509072781,pexels-photo-685526.jpeg
84,sASD,0.5,197,157,6,"(512, 512)",0.000998983,0.354018855,0.599792886,0.000998983,123.1261194,pexels-photo-685526.jpeg
85,sASD,0.3,46,199,21,"(512, 512)",0.000975191,0.427378488,0.831569922,0.000975191,6.568547964,pexels-photo-685526.jpeg
86,sASD,0.4,46,142,12,"(512, 512)",0.000988745,0.370369131,0.670804189,0.000988745,9.875305414,pexels-photo-685526.jpeg
87,sASD,0.5,46,136,8,"(512, 512)",0.000999932,0.300444275,0.512518599,0.000999932,146.498035,pexels-photo-685526.jpeg
88,sASD,0.3,73,73,5,"(512, 512)",0.000999457,0.263741975,0.515274259,0.000999457,17.37504649,pexels-photo-685526.jpeg
89,sASD,0.4,73,93,13,"(512, 512)",0.000999845,0.254007618,0.460873607,0.000999845,393.5482733,pexels-photo-685526.jpeg
90,sASD,0.5,73,178,9,"(512, 512)",0.000950895,0.381153072,0.650993322,0.000950895,125.524667,pexels-photo-685526.jpeg
