Algorithm,Density,Real_rank,Best_rank,Num_eval,Shape,Train_error,Test_error,Full_error,Relative_error,Time,Data
sASD,0.5,176,115,3,"(512, 512)",0.00099991701814,0.254859045057,0.443042293248,0.00099991701814,243.14045190811157,pexels-photo-685526.jpeg
sASD,0.6,176,115,3,"(512, 512)",0.00551135583546,0.180817227239,0.288940046435,0.00551135583546,628.1524200439453,pexels-photo-685526.jpeg
sASD,0.7,176,115,3,"(512, 512)",0.00564597771076,0.0675796924142,0.0904797795054,0.00564597771076,615.7036273479462,pexels-photo-685526.jpeg
sASD,0.4,185,37,14,"(512, 512)",0.0265267326237,0.0367316089273,0.0540976976383,0.0265267326237,1806.3761756420135,pexels-photo-685526.jpeg
sASD,0.5,185,84,9,"(512, 512)",0.00795847877665,0.109624940833,0.19424157397,0.00795847877665,1566.4724810123444,pexels-photo-685526.jpeg
sASD,0.6,185,84,9,"(512, 512)",0.0102404563746,0.0542450063404,0.0698784952788,0.0102404563746,1837.1507675647736,pexels-photo-685526.jpeg
sASD,0.7,185,99,12,"(512, 512)",0.00886324066652,0.0403288660556,0.0564382839352,0.00886324066652,2388.1280267238617,pexels-photo-685526.jpeg
sASD,0.4,93,74,15,"(512, 512)",0.00636803364166,0.179466615736,0.325819589112,0.00636803364166,2098.7898297309875,pexels-photo-685526.jpeg
sASD,0.5,93,115,3,"(512, 512)",0.000999906085295,0.25565436084,0.438235372978,0.000999906085295,256.2591791152954,pexels-photo-685526.jpeg
sASD,0.6,93,89,11,"(512, 512)",0.002599343124,0.0108241890224,0.0217027577223,0.002599343124,2127.6766395568848,pexels-photo-685526.jpeg
sASD,0.7,93,92,13,"(512, 512)",0.00170964614496,0.00309508713781,0.00419657707874,0.00170964614496,1964.1137857437134,pexels-photo-685526.jpeg
sASD,0.4,177,73,5,"(512, 512)",0.00787910278677,0.14954154261,0.273531920293,0.00787910278677,509.8659818172455,pexels-photo-685526.jpeg
sASD,0.5,177,115,3,"(512, 512)",0.000999950546863,0.256442569992,0.443765558207,0.000999950546863,294.98204278945923,pexels-photo-685526.jpeg
sASD,0.6,177,101,13,"(512, 512)",0.00655185947509,0.0980463184839,0.156630937325,0.00655185947509,2555.8023681640625,pexels-photo-685526.jpeg
sASD,0.7,177,115,3,"(512, 512)",0.00574841858169,0.0660875650945,0.0997663460741,0.00574841858169,653.3943257331848,pexels-photo-685526.jpeg
sASD,0.4,82,88,11,"(512, 512)",0.00157666475438,0.246181110646,0.45289519762,0.00157666475438,1321.5861723423004,pexels-photo-685526.jpeg
sASD,0.5,82,73,5,"(512, 512)",0.00555837022974,0.0262963997496,0.0383420653185,0.00555837022974,750.3176729679108,pexels-photo-685526.jpeg
sASD,0.6,82,115,3,"(512, 512)",0.00309357821769,0.157903763547,0.260883779117,0.00309357821769,619.8827838897705,pexels-photo-685526.jpeg
sASD,0.7,82,81,13,"(512, 512)",0.000993140278099,0.00402904603513,0.00306901175171,0.000993140278099,1082.8899338245392,pexels-photo-685526.jpeg
