Algorithm,Density,Rank,Rank_M,Shape,Num_iterations,Relative_error,Time,Data,RMSE
sASD,1.2680370454,10,,"(4427, 1000)",10000,0.119992061161,1578.7983102798462,Netflix,0.45323181328398954
sASD,1.2680370454,25,,"(4427, 1000)",10000,0.0377782784802,1499.1285209655762,Netflix,0.14269542078535813
sASD,1.2680370454,50,,"(4427, 1000)",1780,9.98493525346e-05,273.6334629058838,Netflix,0.000377149143589132
sASD,1.2680370454,100,,"(4427, 1000)",454,9.37733666741e-05,78.54931354522705,Netflix,0.00035419904120386647
sASD,1.2680370454,150,,"(4427, 1000)",335,8.20416293903e-05,68.37291598320007,Netflix,0.00030988613824490597
sASD,1.2680370454,250,,"(4427, 1000)",188,7.83755000679e-05,47.90437459945679,Netflix,0.0002960385017890014
