Algorithm,Density,Real_rank,Rank,Shape,Num_iterations,Train_error,Test_error,Full_error,Time,Data
sASD,0.4,50,10,"(512, 512)",5000,0.104655417328,0.109438560691,0.118556074089,77.49365377426147,pexels-photo-462358.jpeg
sASD,0.4,50,20,"(512, 512)",5000,0.062636225736,0.0735588319791,0.0976742309654,86.26271605491638,pexels-photo-462358.jpeg
sASD,0.4,50,30,"(512, 512)",5000,0.0372709017136,0.0633211896205,0.126210243881,98.52088522911072,pexels-photo-462358.jpeg
sASD,0.4,50,40,"(512, 512)",5000,0.0194024121162,0.0430352386335,0.084621828155,93.70719647407532,pexels-photo-462358.jpeg
sASD,0.4,50,50,"(512, 512)",5000,0.00167162640952,0.0145888853796,0.0189272710225,102.26667785644531,pexels-photo-462358.jpeg
sASD,0.4,50,60,"(512, 512)",5000,0.000664378254992,0.057388412635,0.0763591062169,104.13821029663086,pexels-photo-462358.jpeg
sASD,0.4,50,70,"(512, 512)",5000,0.0058947459276,0.171455619678,0.310806966338,104.8453483581543,pexels-photo-462358.jpeg
sASD,0.4,50,80,"(512, 512)",5000,0.00229617400003,0.207598191826,0.378890241853,105.4597897529602,pexels-photo-462358.jpeg
sASD,0.4,50,90,"(512, 512)",5000,0.00038221620975,0.237491548084,0.442645159989,135.39514350891113,pexels-photo-462358.jpeg
sASD,0.4,50,100,"(512, 512)",1781,9.99698086057e-05,0.280361130626,0.523870353942,45.18542551994324,pexels-photo-462358.jpeg
